rank,transformed_feature,mean_absolute_shap_value
249,V335,0.0008422843885263426
250,V267,0.0008271433534536291
251,C7,0.0008099651876421385
252,V338,0.000803864105647889
253,D14,0.000792533474968044
254,V74,0.0007906267126933792
255,V50,0.0007727472510797779
256,missingindicator_V140,0.0007419937090554589
257,V180,0.0007364164921646153
258,V135,0.0007170953160106318
259,V229,0.0007031045731573717
260,missingindicator_V322,0.0006915238656402819
261,V297,0.000673074708426151
262,addr2,0.0006720308563227139
263,V243,0.0006450347367017602
264,V244,0.0006372617209178911
265,V208,0.0006302821802584785
266,V199,0.0006082056850714137
267,V26,0.0005989868781140566
268,V329,0.0005942131942996085
269,V205,0.0005847656346858705
270,missingindicator_addr2,0.0005846128814062023
271,V232,0.0005716591499566085
272,V134,0.0005653432872144087
273,missingindicator_addr1,0.0005546146864265352
274,missingindicator_D6,0.000546371677869234
275,V47,0.0005309193931343771
276,V300,0.0004727241248525617
277,missingindicator_V217,0.00047257766820583643
278,V238,0.0004725366421656209
279,V209,0.0004510245104463528
280,V3,0.0004499565150262921
281,V251,0.0004447006004834509
282,missingindicator_amount_card1_168h_mean,0.00044200608096131756
283,V301,0.0004403168379110276
284,V278,0.0004066808082195953
285,V326,0.0004029576039112874
286,V268,0.0004026487143983176
287,V250,0.00040190376395756074
288,V25,0.0004016677810602127
289,V330,0.0003979997184446461
290,missingindicator_card2,0.00039673566697182933
291,V40,0.0003940611780970456
292,V265,0.0003727315365048694
293,V108,0.000371487748393456
294,missingindicator_D4,0.00036741867235698253
295,V234,0.00036329116145579303
296,V132,0.00035236918961248083
297,V168,0.0003504354073680307
298,id_32,0.0003498054487061448
299,V142,0.00032866920369406256
300,V118,0.0003213540369737975
301,missingindicator_V220,0.0003164126704942891
302,V298,0.000313742923270138
303,V274,0.0003130783338728344
304,V141,0.000287676200593241
305,V253,0.0002852939567812745
306,V103,0.00028284611498075377
307,missingindicator_P_emaildomain_target_encoded,0.00026825613415962896
308,V233,0.0002643456369627463
309,V172,0.0002628107466301878
310,V235,0.0002610239154525905
311,V181,0.0002549722696248208
312,V167,0.0002530102966672247
313,V263,0.00024735263024736715
314,V299,0.00024558407378313355
315,V302,0.00023838304184097561
316,V262,0.00023236929413321413
317,V100,0.00022757638346299059
318,V176,0.00022728712701174713
319,V97,0.00022653627250972155
320,V225,0.00022322901172808096
321,V174,0.00022153339770560634
322,missingindicator_V35,0.000217798805338794
323,V228,0.0002160627854582827
324,V163,0.00021392727138646304
325,missingindicator_D7,0.00020984986232998348
326,V79,0.00020537872513677776
327,missingindicator_V138,0.00020459571374556747
328,V195,0.00020262956841802135
329,V188,0.00019810938780638276
330,V245,0.00019482730883232008
331,V324,0.00019372603237512653
332,missingindicator_D1,0.00019314118349924583
333,V158,0.00019169744243973305
334,V6,0.00018943757444084484
335,V210,0.00018843973657605426
336,V147,0.00018473700132116302
337,V331,0.00018460360267910246
338,missingindicator_id_04,0.0001807078473027803
339,V207,0.00016727761500142776
340,V248,0.0001648373275550588
341,V21,0.00016197241467889108
342,missingindicator_card5,0.00015819558342638912
343,V231,0.00015355631082481717
344,V178,0.00014660684130742417
345,missingindicator_id_02,0.00014520988165610984
346,V219,0.0001444082779409365
347,V277,0.0001406831076728433
348,V170,0.00013887594117608423
349,V101,0.00013708469388709743
350,V237,0.00013660195930069316
351,V220,0.00013363678287528854
352,V292,0.00013269026129361018
353,V175,0.00013202956272662043
354,V211,0.00012676868485799866
355,V173,0.00012552600624877989
356,missingindicator_history_R_emaildomain_transaction_count,0.00011740624850615862
357,V85,0.0001115371059146715
358,V226,0.00011076868918345968
359,V161,0.00010569421027321119
360,V51,9.671624766744451e-05
361,V212,9.620517320395445e-05
362,V182,9.488206803519424e-05
363,V121,8.961315083270998e-05
364,V46,8.90273493396816e-05
365,V336,8.885719792637973e-05
366,V325,8.287468506209548e-05
367,V327,8.047446378599847e-05
368,V256,7.504662030842175e-05
369,V202,7.189836627553447e-05
370,missingindicator_dist1,7.107740777509782e-05
371,V200,6.58589704318441e-05
372,V114,6.575967152230516e-05
373,V295,6.446331473160515e-05
374,V270,6.20812711414747e-05
375,V271,5.9629016854218285e-05
376,V236,5.609819608205066e-05
377,V15,5.347532217192933e-05
378,V322,5.219849564752081e-05
379,V148,4.8763322292825187e-05
380,V171,4.7587147180456675e-05
381,V157,3.8604113439098e-05
382,V227,3.4036489161430766e-05
383,V194,3.2159211535939246e-05
384,V123,3.189148149057287e-05
385,V284,2.7806140985805537e-05
386,V32,2.633332950575316e-05
